parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
dataset_config.augmentation_config.spatial_augmentation,,collection ,Configure augmentation pertaining to spatial transformations,,,,,,,,,FALSE,,,
dataset_config.augmentation_config.spatial_augmentation.hflip_probability,,float,probability for flipping image horizontally,0.5,,0,1,,,,,,,,
dataset_config.augmentation_config.spatial_augmentation.vflip_probability,,float,probability for flipping image vertically,0.5,,0,1,,,,,,,,
dataset_config.augmentation_config.spatial_augmentation.crop_and_resize_prob,,float,probability at which to crop and resize,0.5,,0,1,,,,,,,,
dataset_config.augmentation_config.brightness_augmentation,,collection ,Configure augmentation pertaining to brightness,,,,,,,,,FALSE,,,
dataset_config.augmentation_config.brightness_augmentation.delta,,float,,0.2,,0,1,,,,,,,,
model_config,Model,collection,,,,,,,,,,FALSE,,,
model_config.arch,BackBone Architecture,ordered,The architecture of the backbone feature extractor to be used for training.,resnet,,,,"resnet,vgg,vanilla_unet,efficientnet_b0,vanilla_dynamic,byom ",yes,,,FALSE,,,
model_config.enable_qat,Enable Quantization aware training ,bool,"Set this to true,to enable quantization during re-training of pruned model",FALSE,,,,FALSE/ TRUE,,,,FALSE,,,
model_config.byom_model,Model path to BYOM .tltb,hidden,Set the path to byom model when using byom arch,None,,,,,,,,FALSE,,,
model_config.load_graph,Pruned model Load Graph,bool," For a pruned model,set this parameter to True. Pruning modifies the original graph,so the pruned model graph and the weights need to be imported.",FALSE,,,,FALSE/ TRUE,,,,FALSE,,,
model_config.freeze_blocks,Freeze Blocks,integer,"This parameter defines which blocks may be frozen from the instantiated feature extractor template,and is different for different feature extractor templates.",,,0,3,,,,,,,,
model_config.freeze_bn,Freeze Batch Normalization,bool,A flag to determine whether to freeze the Batch Normalization layers in the model during training.,FALSE,,,,FALSE/ TRUE,,,,,,,
model_config.all_projections,All Projections,bool,"For templates with shortcut connections,this parameter defines whether or not all shortcuts should be instantiated with 1x1 projection layers,irrespective of whether there is a change in stride across the input and output.",TRUE,,,,,,,,,,,
model_config.num_layers,Number of Layers,ordered_int,The depth of the feature extractor for scalable templates.,18,,,,"10,18,34,50",yes,,,FALSE,,,
model_config.use_pooling,Use Pooling,bool,"Choose between using strided convolutions or MaxPooling while downsampling. When True,MaxPooling is used to downsample; however,for the object-detection network,NVIDIA recommends setting this to False and using strided convolutions.",,,,,,,,,,,,
model_config.use_batch_norm,Use Batch Normalization,bool,A flag to determine whether to use Batch Normalization layers or not.,TRUE,,,,FALSE/ TRUE,,,,,,,
model_config.enable_qat,,bool,,FALSE,,,,FALSE/ TRUE,,,,,,,
model_config.dropout_rate,Dropout Rate,float,Probability for drop out,,,0,0.1,,,,,,,,
model_config.training_precision.backend_floatx,Backend Training Precision,string,A nested parameter that sets the precision of the backend training framework.,__FLOAT32__,,,,__FLOAT32__,yes,,,FALSE,,,
model_config.initializer,Kernel Initializer,ordered,The type of initializer for the kernels ,,,,,"__HE_UNIFORM__,__ HE_NORMAL__,__ GLOROT_UNIFORM__",,,,,,,
model_config.model_input_height,Model Input height,int,The model input dimensions,320,,32,384,"256,288,320,352,384",,,,TRUE,/ 32,,
model_config.model_input_width,Model Input width,int,The model input dimensions,320,,32,384,"256,288,320,352,384",,,,TRUE,/ 32,,
model_config.model_input_channels,Model input channels,ordered_int,The model input dimensions,1,,,,"1,3",,,,FALSE,,,
training_config,Training,collection,,,,,,,,,,FALSE,,,
training_config.batch_size,Batch Size Per GPU,integer,The number of images per batch per GPU.,3,,1,inf,,yes,,,,,,
training_config.epochs,Number of Epochs,integer,The total number of epochs to run the experiment.,50,,1,,,yes,,Yes,FALSE,,,
training_config.log_summary_steps,,integer,Number of steps after which to display the log summary,10,,1,,,,,,FALSE,,,
training_config.checkpoint_interval,checkpoint interval,integer,Number of epochs after which to save the ceheckpoint,1,,,,,,,,FALSE,,,
training_config.loss,,ordered,Loss to be used,cross_entropy,,,,"cross_entropy,cross_dice_sum,dice",,,,,,,
training_config.learning_rate,,float,Learning rate,0.0001,,0.000002,0.001,,,,,TRUE,,,
training_config.lr_scheduler,learning rate scheduler,string,,,,,,,,,,FALSE,,,
training_config.weights_monitor,,bool,Bool to turn on tensorboard visualization of loss and gradients variations,,,,,,,,,FALSE,,,
training_config.regularizer,,collection,Regularizer to use,,,,,,,,,FALSE,,,
training_config.regularizer.type,,ordered,,__L2__,,,,"__L1__,__L2__",,,,TRUE,,,
training_config.regularizer.weight,,float,,2.00E-05,,3.00E-09,3.00E-03,,,,,TRUE,,,
training_config.optimizer,Optimizer,collection,,,,,,,,,,FALSE,,,
training_config.optimizer.adam.epsilon,Optimizer Adam Epsilon,float,A very small number to prevent any division by zero in the implementation.,1.00E-08,,,,,yes,,,,,,
training_config.optimizer.adam.beta1,Optimizer Adam Beta1,float,,0.899999976,,0.6,0.98,,yes,,,TRUE,,,
training_config.optimizer.adam.beta2,Optimizer Adam Beta2,float,,0.999000013,,0,1,,yes,,,,,,
training_config.visualizer,,collection,,,,,,,,,,FALSE,,,
training_config.visualizer.enabled,,bool,,FALSE,,,,FALSE/ TRUE,,,,FALSE,,,
training_config.visualizer.save_summary_steps,,integer,Steps at which to visualize loss on TB. ,,,1,,,,,,FALSE,,,
training_config.visualizer.infrequent_save_summary_steps,,integer,"Steps at which to visualize input images,ground truth and histograms.",,,1,,,,,,FALSE,,,
training_config.visualizer.wandb_config,W&B config,collection,Weights and Biases Configuration,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.project,W&B project name,string,Name of the weights and biases project to upstream the visualization data.,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.entity,W&B entity name,string,Name of the weights and biases entity the project belonds to,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.notes,W&B notes,string,String note about the experiment,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.name,W&B experiment name,string,Name of the weights and biases experiment,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.tags,W&B tags,string,Tag of the weights and biases experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config,ClearML config,collection,ClearML Configuration,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.project,ClearML project name,string,Name of the ClearML project to upstream the visualization data.,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.task,ClearML experiment name,string,Name of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.tags,ClearML tags,string,Tag of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.data_options,,bool,,TRUE,,,,FALSE/ TRUE,,,,FALSE,,,
