parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
mal.dataset.val_img_dir,,hidden,,,,,,,,,,FALSE,,,
mal.evaluate,,collection,,,,,,,,,,FALSE,,,
mal.evaluate.batch_size,,int,,3,,,,,,,,FALSE,,,
mal.evaluate.comp_clustering,,bool,,False,,,,,,,,FALSE,,,
mal.evaluate.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
mal.evaluate.num_gpus,,int,,1,,,,,,,,FALSE,,,
mal.evaluate.num_nodes,,int,,1,,,,,,,,FALSE,,,
mal.evaluate.use_flip_test,,bool,,False,,,,,,,,FALSE,,,
mal.evaluate.use_mixed_model_test,,bool,,False,,,,,,,,FALSE,,,
mal.evaluate.use_teacher_test,,bool,,False,,,,,,,,FALSE,,,
mal.inference,,collection,,,,,,,,,,FALSE,,,
mal.inference.ann_path,,hidden,,,,,,,,,,FALSE,,,
mal.inference.batch_size,,int,,3,,,,,,,,FALSE,,,
mal.inference.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
mal.inference.img_dir,,hidden,,,,,,,,,,FALSE,,,
mal.inference.label_dump_path,,hidden,,,,,,,,,,FALSE,,,
mal.inference.load_mask,,bool,,False,,,,,,,,FALSE,,,
mal.inference.num_gpus,,int,,1,,,,,,,,FALSE,,,
mal.inference.num_nodes,,int,,1,,,,,,,,FALSE,,,
mal.model,,collection,,,,,,,,,,FALSE,,,
mal.model.arch,,string,,vit-mae-base/16,,,,,,,,FALSE,,,
mal.model.frozen_stages,,list,,"[-1]",,,,,,,,FALSE,,,
mal.model.mask_head_hidden_channel,,int,,256,,,,,,,,FALSE,,,
mal.model.mask_head_num_convs,,int,,4,,,,,,,,FALSE,,,
mal.model.mask_head_out_channel,,int,,256,,,,,,,,FALSE,,,
mal.model.mask_scale_ratio,,float,,2.0,,,,,,,,FALSE,,,
mal.model.mask_scale_ratio_pre,,int,,1,,,,,,,,FALSE,,,
mal.model.not_adjust_scale,,bool,,False,,,,,,,,FALSE,,,
mal.model.teacher_momentum,,float,,0.996,,,,,,,,FALSE,,,
mal.model.vit_dpr,,float,,0.0,,,,,,,,FALSE,,,
mal.train,,collection,,,,,,,,,,FALSE,,,
mal.train.accum_grad_batches,,int,,1,,,,,,,,FALSE,,,
mal.train.batch_size,,int,,1,,,,,,,,FALSE,,,
mal.train.checkpoint_interval,,int,,1,,,,,,,,FALSE,,,
mal.train.crf_kernel_size,,int,,3,,,,,,,,FALSE,,,
mal.train.crf_num_iter,,int,,100,,,,,,,,FALSE,,,
mal.train.crf_size_ratio,,int,,1,,,,,,,,FALSE,,,
mal.train.crf_value_high_thres,,float,,0.9,,,,,,,,FALSE,,,
mal.train.crf_value_low_thres,,float,,0.1,,,,,,,,FALSE,,,
mal.train.crf_zeta,,float,,0.1,,,,,,,,FALSE,,,
mal.train.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
mal.train.loss_crf_step,,int,,4000,,,,,,,,FALSE,,,
mal.train.loss_crf_weight,,float,,0.5,,,,,,,,FALSE,,,
mal.train.loss_mil_step,,int,,1000,,,,,,,,FALSE,,,
mal.train.loss_mil_weight,,float,,4.0,,,,,,,,FALSE,,,
mal.train.lr,,float,,1e-06,,,,,,,,FALSE,,,
mal.train.margin_rate,,list,,"[0, 1.2]",,,,,,,,FALSE,,,
mal.train.mask_thres,,list,,"[0.1]",,,,,,,,FALSE,,,
mal.train.min_lr,,float,,0.0,,,,,,,,FALSE,,,
mal.train.min_lr_rate,,float,,0.02,,,,,,,,FALSE,,,
mal.train.num_epochs,,int,,10,,,,,,,,FALSE,,,
mal.train.num_gpus,,int,,1,,,,,,,,FALSE,,,
mal.train.num_nodes,,int,,1,,,,,,,,FALSE,,,
mal.train.num_wave,,float,,1.0,,,,,,,,FALSE,,,
mal.train.optim_betas,,list,,"[0.9, 0.9]",,,,,,,,FALSE,,,
mal.train.optim_eps,,float,,1e-08,,,,,,,,FALSE,,,
mal.train.optim_momentum,,float,,0.9,,,,,,,,FALSE,,,
mal.train.optim_type,,string,,adamw,,,,,,,,FALSE,,,
mal.train.seed,,int,,1234,,,,,,,,FALSE,,,
mal.train.test_margin_rate,,list,,"[0.6, 0.6]",,,,,,,,FALSE,,,
mal.train.use_amp,,bool,,True,,,,,,,,FALSE,,,
mal.train.validation_interval,,int,,1,,,,,,,,FALSE,,,
mal.train.warmup_epochs,,int,,1,,,,,,,,FALSE,,,
mal.train.wd,,float,,0.0005,,,,,,,,FALSE,,,
mal.train.cudnn,,collection,,,,,,,,,,FALSE,,,
mal.train.cudnn.benchmark,,bool,,False,,,,,,,,FALSE,,,
mal.train.cudnn.deterministic,,bool,,True,,,,,,,,FALSE,,,
num_gpus,,int,,1,,,,,,,,FALSE,,,
num_workers,,int,,8,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
