parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,CLI,automl_enabled,math_cond,parent_param,depends_on
eval_config.eval_samples,number of samples for evaluation,integer,The number of samples for evaluation,500,,1,inf,,,,,,FALSE,,,
eval_config.max_detections_per_image,maximum detections per image,integer,The maximum number of detections to visualize,100,,1,inf,,,,,,,,,
eval_config.min_score_thresh,minimum confidence threshold,float,The lowest confidence of the predicted box and ground truth box that can be considered a match,0.4,,0,inf,,,,,,,,,
model_config,model config,collection,Parameters to configure model,,,,,,,,,,FALSE,,,
model_config.anchor_scale,anchor scale,integer,Scale of the base-anchor size to the feature-pyramid stride,4,,1,inf,,,,,,TRUE,,,
model_config.aspect_ratios,aspect ratios,string,A list of tuples representing the aspect ratios of anchors on each pyramid level,"[(1.0, 1.0), (1.4, 0.7), (0.7, 1.4)]",,,,,,,,,FALSE,,,
model_config.max_level,maximum level,integer,The maximum level of the output feature pyramid,7,,,,7,,,,,FALSE,,,
model_config.min_level,minimum level,integer,The minimum level of the output feature pyramid,3,,,,3,,,,,FALSE,,,
model_config.model_name,model name,ordered,Model name,efficientdet-d0,,,,"efficientdet-d0, efficientdet-d1, efficientdet-d2, efficientdet-d3, efficientdet-d4, efficientdet-d5",,,,,FALSE,,,
model_config.num_scales,number of scales,integer,"The number of anchor octave scales on each pyramid level (e.g. if set to 3, the anchor scales are [2^0, 2^(1/3), 2^(2/3)])",3,,1,inf,,,,,,,,,
training_config,Training config,collection,Parameters to configure the training process,,,,,,,,,,FALSE,,,
training_config.amp,AMP,bool,Whether to use mixed precision training,TRUE,,,,,,,,,,,,
training_config.checkpoint,path to pretrained model,hidden,"The path to the pretrained model, if any",,,,,,,,,,FALSE,,,
training_config.checkpoint_period,checkpoint period,integer,The number of training epochs that should run per model checkpoint/validation,2,,1,inf,,,,,,FALSE,,,
training_config.clip_gradients_norm,clip gradient by norm,float,Clip gradients by the norm value,5.00E+00,,0,inf,,,,,,,,,
training_config.iterations_per_loop,,integer,,10,,1,inf,,,,,,FALSE,,,
training_config.l1_weight_decay,L1 weight decay,float,L1 weight decay,0,,0,1,,,,,,,,,
training_config.l2_weight_decay,L2 weight decay,float,L2 weight decay,0.00004,,0,inf,,,,,,TRUE,,,
training_config.learning_rate,maximum learning rate,float,The maximum learning rate,0.00002,,0,inf,,,,,,TRUE,,,
training_config.lr_warmup_epoch,learning rate warmup epoch,integer,The number of warmup epochs in the learning rate schedule,1,,0,inf,,,,,,FALSE,,,<= training_config.num_epochs
training_config.lr_warmup_init,initial learning rate during warmup,float,The initial learning rate in the warmup period,0.0002,,0,inf,,,,,,TRUE,,,
training_config.moving_average_decay,moving average decay,float,Moving average decay,0.9999,,0,1,,,,,,TRUE,,,
training_config.num_epochs,number of epochs,integer,The number of epochs to train the network,6,,1,inf,,,,,,FALSE,,,
training_config.num_examples_per_epoch,number of images per epoch per gpu,integer,Total number of images in the training set divided by the number of GPUs,118288,,1,inf,,,,,,FALSE,,,
training_config.pruned_model_path,path to pruned model,hidden,"The path to a TAO pruned model for re-training, if any",,,,,,,,,,FALSE,,,
training_config.skip_checkpoint_variables,skip checkpoint variables,string,"If specified, the weights of the layers with matching regular expressions will not be loaded. This is especially helpful for transfer learning.",-predict*,,,,,,,,,FALSE,,,
training_config.tf_random_seed,random seed,integer,The random seed,42,,1,inf,,,,,,FALSE,,,
training_config.train_batch_size,training batch size,integer,"The batch size for each GPU, so the effective batch size is batch_size_per_gpu * num_gpus.",8,,1,inf,,,,,,,,,
version,Schema Version,const,The version of this schema,1,,,,,,,,,FALSE,,,
