parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,,,,
training_config.visualizer.wandb_config.notes,W&B notes,string,String note about the experiment,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.name,W&B experiment name,string,Name of the weights and biases experiment,,,,,,,,,FALSE,,,
training_config.visualizer.wandb_config.tags,W&B tags,string,Tag of the weights and biases experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config,ClearML config,collection,ClearML Configuration,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.project,ClearML project name,string,Name of the ClearML project to upstream the visualization data.,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.task,ClearML experiment name,string,Name of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.tags,ClearML tags,string,Tag of the ClearML experiment,,,,,,,,,FALSE,,,
eval_config,,collection,,,,,,,,,,,,,
eval_config.top_k,,integer,,3,,,,,,,,,,,
eval_config.eval_dataset_path,,hidden,,,,,,,,,,,,,
eval_config.model_path,,hidden,,,,,,,,,,,,,
eval_config.batch_size,,integer,,256,,,,,,,,,,,
eval_config.n_workers,,integer,,2,,,,,,,,,,,
eval_config.enable_center_crop,,bool,,TRUE,,,,,,,,,,,
model_config,,collection,,,,,,,,,,,,,
model_config.arch,,string,,resnet,,,,,,,,,,,
model_config.input_image_size,,string,,"3,224,224",,,,,yes,,yes,,,,
model_config.resize_interpolation_method,,string,,,"__BILINEAR__, __BICUBIC__",,,,,,,,,,
model_config.n_layers,,integer,,18,,,,,,,,,,,
model_config.retain_head,,bool,,FALSE,,,,,,,,,,,
model_config.use_batch_norm,,bool,,TRUE,,,,,,,,,,,
model_config.use_bias,,bool,,,,,,,,,,,,,
model_config.use_pooling,,bool,,,,,,,,,,,,,
model_config.all_projections,,bool,,TRUE,,,,,,,,,,,
model_config.freeze_bn,,bool,,,,,,,,,,,,,
model_config.freeze_blocks,,integer,,,,,,,,,,,,,
model_config.dropout,,float,,1.00E-03,,,,,,,,,,,
model_config.batch_norm_config,,collection,,,,,,,,,,,,,
model_config.batch_norm_config.momentum,,float,,,,,,,,,,,,,
model_config.batch_norm_config.epsilon,,float,,,,,,,,,,,,,
model_config.activation,,collection,,,,,,,,,,,,,
model_config.activation.activation_type,,string,,,,,,,,,,,,,
model_config.activation.activation_parameters,,collection,,,,,,,,,,,,,
model_config.activation.activation_parameters.key,,string,,,,,,,,,,,,,
model_config.activation.activation_parameters.value,,float,,,,,,,,,,,,,
