parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,param_type (internal / hidden / inferred),CLI
training_config.visualizer.clearml_config.task,ClearML experiment name,string,Name of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.tags,ClearML tags,string,Tag of the ClearML experiment,,,,,,,,,FALSE,,,
eval_config,Evaluation,collection,,,,,,,,,,,
eval_config.average_precision_mode,Average Precision Mode,string,The mode in which the average precision for each class is calculated.,__SAMPLE__,,,,"__SAMPLE__, __INTEGRATE__",,,,,
eval_config.validation_period_during_training,Validation Period During Training,integer,The interval at which evaluation is run during training. The evaluation is run at this interval starting from the value of the first validation epoch parameter as specified below.,10,,1,,,,,,,
eval_config.batch_size,Batch Size,integer,batch size for evaluation,16,,1,,,,,,,
eval_config.matching_iou_threshold,Matching IoU Threshold,float,IoU threshold,0.5,,0,1,,,,,,
eval_config.visualize_pr_curve,Visualize PR Curve,bool,Whether or not to visualize precision-recall curve,,,,,,,,,,
nms_config.confidence_threshold,Confidence Threshold,float,Confidence threshold,0.01,,0,1,,,,,,
nms_config.clustering_iou_threshold,IoU threshold,float,IoU threshold,0.6,,0,1,,,,,,
nms_config.top_k,Top K,integer,Maximum number of objects after NMS,200,,0,,,,,,,
nms_config.infer_nms_score_bits,NMS Score Bits,integer,Number of bits for scores for optimized NMS,,,1,32,,,,,,
augmentation_config,Augmentation config,collection,,,,,,,,,,,
augmentation_config.output_width,Model Input width,integer,,1280,,,,,,,yes,,
augmentation_config.output_height,Model Input height,integer,,736,,,,,,,yes,,
augmentation_config.output_channel,Model Input channel,integer,,3,,,,,,,yes,,
augmentation_config.random_crop_min_scale,Random Crop Min Scale,float,the minimum random crop size,0.3,,0,1,,,,,,
augmentation_config.random_crop_max_scale,Random Crop Max Scale,float,the maximum random crop size,1,,0,1,,,,,,
augmentation_config.random_crop_min_ar,Random Crop Max Aspect Ratio,float,the minimum random crop aspect ratio,0.5,,,,,,,,,
augmentation_config.random_crop_max_ar,Random Crop MIin Aspect Ratio,float,the maximum random crop aspect ratio,2,,,,,,,,,
augmentation_config.zoom_out_min_scale,Zoom Out Min Scale,float,Minimum scale of ZoomOut augmentation,1,,1,,,,,,,
augmentation_config.zoom_out_max_scale,Zoom Out Max Scale,float, Maximum scale of ZoomOut augmentation,4,,1,,,,,,,
augmentation_config.brightness,Brightness,integer,Brightness delta in color jittering augmentation,32,,0,255,,,,,,
augmentation_config.contrast,Contrast,float,Contrast delta factor in color jitter augmentation,0.5,,0,1,,,,,,
augmentation_config.saturation,Saturation,float,Saturation delta factor in color jitter augmentation,0.5,,0,1,,,,,,
augmentation_config.hue,Hue,integer,Hue delta in color jittering augmentation,18,,0,180,,,,,,
augmentation_config.random_flip,Random Flip,float,Probablity of performing random horizontal flip,,,,,,,,,,
augmentation_config.image_mean,Image Mean,collection,"A key/value pair to specify image mean values. If omitted, ImageNet mean will be used for image preprocessing. If set, depending on output_channel, either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,
augmentation_config.image_mean.key,Image Mean key,string,"A key/value pair to specify image mean values. If omitted, ImageNet mean will be used for image preprocessing. If set, depending on output_channel, either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,
augmentation_config.image_mean.value,Image Mean value,float,"A key/value pair to specify image mean values. If omitted, ImageNet mean will be used for image preprocessing. If set, depending on output_channel, either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,
dssd_config.aspect_ratios_global,Aspect Ratio Global,string,The anchor boxes of aspect ratios defined in aspect_ratios_global will be generated for each feature layer used for prediction. Note that either the aspect_ratios_global or aspect_ratios parameter is required; you don’t need to specify both.,"[1.0, 2.0, 0.5, 3.0, 1.0/3.0]",,,,,,,,,
dssd_config.aspect_ratios,Aspect Ratio,srting,The aspect ratio of anchor boxes for different SSD feature layers,,,,,,,,,,
dssd_config.two_boxes_for_ar1,Two boxes for aspect-ratio=1,bool,"If this parameter is True, two boxes will be generated with an aspect ratio of 1.",TRUE,,,,,,,,,
dssd_config.clip_boxes,Clip Boxes,bool,"If true, all corner anchor boxes will be truncated so they are fully inside the feature images.",FALSE,,,,,,,,,
dssd_config.variances,Variance,string,A list of 4 positive floats to decode bboxes ,"[0.1, 0.1, 0.2, 0.2]",,,,,,,,,
dssd_config.scales,Scales,string,A list of positive floats containing scaling factors per convolutional predictor layer,"[0.05, 0.1, 0.25, 0.4, 0.55, 0.7, 0.85]",,,,,,,,,
dssd_config.steps,Steps,string,An optional list inside quotation marks with a length that is the number of feature layers for prediction.The elements should be floats or tuples/lists of two floats. The steps define how many pixels apart the anchor-box center points should be,,,,,,,,,,
dssd_config.offsets,Offsets,string,"An optional list of floats inside quotation marks with length equal to the number of feature layers for prediction. The first anchor box will have a margin of offsets[i]*steps[i] pixels from the left and top borders. If offsets are not provided, 0.5 will be used as default value.",,,,,,,,,,
dssd_config.arch,Arch,string,The backbone for feature extraction,resnet,,,,,,,,,
dssd_config.nlayers,Number of Layers,integer,The number of conv layers in a specific arch,18,,,,,,,,,
dssd_config.freeze_bn,Freeze BN,bool,Whether to freeze all batch normalization layers during training.,FALSE,,,,,,,,,
dssd_config.freeze_blocks,Freeze Blocks,list,The list of block IDs to be frozen in the model during training,,,,,,,,,,
dssd_config.pred_num_channels,Prediction Layer Channel,integer,The number of channel of the DSSD prediction layer,512,,1,,,,,,,
